iteration,wte_saturated_ratio,wte_kurtosis,wte_rank_ratio,wpe_saturated_ratio,wpe_kurtosis,wpe_rank_ratio,ln_1_saturated_ratio,ln_1_kurtosis,ln_1_rank_ratio,c_attn_saturated_ratio,c_attn_kurtosis,c_attn_rank_ratio,c_proj_saturated_ratio,c_proj_kurtosis,c_proj_rank_ratio,ln_2_saturated_ratio,ln_2_kurtosis,ln_2_rank_ratio,c_fc_saturated_ratio,c_fc_kurtosis,c_fc_rank_ratio,ln_f_saturated_ratio,ln_f_kurtosis,ln_f_rank_ratio,lm_head_saturated_ratio,lm_head_kurtosis,lm_head_rank_ratio
135000,0.00792483660130719,69.14084639165343,0.9901960784313726,0.0,5.456336560379947,1.0,0.11666666666666667,2.7085770232153727,1.0,0.0,0.5730936420894412,1.0,0.0,0.8854121516401103,1.0,1.0,1.041046338222201,1.0,0.0,0.2115516430661044,1.0,1.0,0.24203303855468894,1.0,0.00792483660130719,69.14084639165343,0.9901960784313726
136000,0.008006535947712418,69.68250873021987,0.9901960784313726,0.0,5.435779289936729,1.0,0.11666666666666667,2.7246316501083045,1.0,0.0,0.5726155440679301,1.0,0.0,0.8788633392290737,1.0,1.0,1.0410185639668583,1.0,0.0,0.21071902719886593,1.0,1.0,0.2433886944298358,1.0,0.008006535947712418,69.68250873021987,0.9901960784313726
137000,0.008006535947712418,70.4197315654314,0.9901960784313726,0.0,5.43145278979738,1.0,0.13333333333333333,2.731272877414481,1.0,0.0,0.5757092583722421,1.0,0.0,0.8814528361735525,1.0,1.0,1.0336504509725355,1.0,0.0,0.2128428924931125,1.0,1.0,0.2535127099718255,1.0,0.008006535947712418,70.4197315654314,0.9901960784313726
138000,0.008006535947712418,71.10552794579016,0.9901960784313726,0.0,5.438887351109331,1.0,0.13333333333333333,2.7378941588331864,1.0,0.0,0.5757387301576036,1.0,0.0,0.8743899364933654,1.0,1.0,1.038322916378232,1.0,0.0,0.21515269409555904,1.0,1.0,0.25265149686245936,1.0,0.008006535947712418,71.10552794579016,0.9901960784313726
139000,0.008006535947712418,71.79141915246974,0.9901960784313726,0.0,5.436571043839686,1.0,0.13333333333333333,2.739013864751924,1.0,0.0,0.5766746009031016,1.0,0.0,0.8714536909297452,1.0,1.0,1.0343841314587534,1.0,0.0,0.21221962804299377,1.0,1.0,0.24721517877321242,1.0,0.008006535947712418,71.79141915246974,0.9901960784313726
140000,0.008006535947712418,72.34014230139827,0.9901960784313726,0.0,5.414857381615258,1.0,0.14166666666666666,2.732767509952592,1.0,0.0,0.573345698446075,1.0,0.0,0.8674558236336649,1.0,1.0,1.038383798496655,1.0,0.0,0.21367661502893354,1.0,1.0,0.24628916615286034,1.0,0.008006535947712418,72.34014230139827,0.9901960784313726
141000,0.008006535947712418,72.94866124600262,0.9901960784313726,0.0,5.4092113494396745,1.0,0.14166666666666666,2.729482690665594,1.0,0.0,0.5726345403890027,1.0,0.0,0.8631902394433637,1.0,1.0,1.034889281928228,1.0,0.0,0.2153224121297157,1.0,1.0,0.2470864398497037,1.0,0.008006535947712418,72.94866124600262,0.9901960784313726
142000,0.008006535947712418,73.42535042980833,0.9901960784313726,0.0,5.4090113418689185,1.0,0.14166666666666666,2.744128291413886,1.0,0.0,0.5735666455945969,1.0,0.0,0.8579109675707817,1.0,1.0,1.0307667035439136,1.0,0.0,0.21501674418739247,1.0,1.0,0.2409248271764084,1.0,0.008006535947712418,73.42535042980833,0.9901960784313726
143000,0.008088235294117648,74.0049160572108,0.9901960784313726,0.0,5.408671346955263,1.0,0.15,2.762068674875949,1.0,0.0,0.573713648714198,1.0,0.0,0.8535120816942343,1.0,1.0,1.0262137077415252,1.0,0.0,0.21794159022230408,1.0,1.0,0.24744735415457786,1.0,0.008088235294117648,74.0049160572108,0.9901960784313726
144000,0.008088235294117648,74.77857607551809,0.9901960784313726,0.0,5.415574311870904,1.0,0.15,2.759340902495345,1.0,0.0,0.5727790700444024,1.0,0.0,0.848415723596661,1.0,1.0,1.0283789602133284,1.0,0.0,0.2174769931362448,1.0,1.0,0.24407269481190452,1.0,0.008088235294117648,74.77857607551809,0.9901960784313726
145000,0.008088235294117648,75.21965317838564,0.9901960784313726,0.0,5.395332368362697,1.0,0.15,2.7650752745605116,1.0,0.0,0.5750599161274592,1.0,0.0,0.8477109973363075,1.0,1.0,1.0254601186335597,1.0,0.0,0.21616087667833028,1.0,1.0,0.24626303665164917,1.0,0.008088235294117648,75.21965317838564,0.9901960784313726
146000,0.008088235294117648,75.56687573839926,0.9901960784313726,0.0,5.41694719879988,1.0,0.15833333333333333,2.7743005701153836,1.0,0.0,0.5754826170717209,1.0,0.0,0.8417929025640687,1.0,1.0,1.0286881258323408,1.0,0.0,0.21690958476911515,1.0,1.0,0.24689172402805726,1.0,0.008088235294117648,75.56687573839926,0.9901960784313726
147000,0.008088235294117648,76.14687847953043,0.9901960784313726,0.0,5.398956155690781,1.0,0.16666666666666666,2.7696640074074512,1.0,0.0,0.5679085294686033,1.0,0.0,0.8339527411879182,1.0,1.0,1.026194522064448,1.0,0.0,0.21751138082964605,1.0,1.0,0.24107904711148853,1.0,0.008088235294117648,76.14687847953043,0.9901960784313726
148000,0.008088235294117648,76.63802021339053,0.9901960784313726,0.0,5.394133074525891,1.0,0.16666666666666666,2.7868696018148578,1.0,0.0,0.5696889495062538,1.0,0.0,0.8308029217249788,1.0,1.0,1.0257615794199157,1.0,0.0,0.21636723788600554,1.0,1.0,0.24812174624188188,1.0,0.008088235294117648,76.63802021339053,0.9901960784313726
149000,0.008088235294117648,77.18280976619724,0.9901960784313726,0.0,5.414880095779848,1.0,0.175,2.782599349611578,1.0,0.0,0.5766693918698147,1.0,0.0,0.8266417193573705,1.0,1.0,1.007437387614095,1.0,0.0,0.21740331527900647,1.0,1.0,0.23807817610404536,1.0,0.008088235294117648,77.18280976619724,0.9901960784313726
150000,0.008169934640522876,77.52445516677115,0.9901960784313726,0.0,5.399757735611212,1.0,0.19166666666666668,2.7931014977140975,1.0,0.0,0.57566957085854,1.0,0.0,0.819845371041179,1.0,1.0,1.0101110928794457,1.0,0.0,0.2166717934885929,1.0,1.0,0.24057944130510878,1.0,0.008169934640522876,77.52445516677115,0.9901960784313726
151000,0.008169934640522876,78.05285833510938,0.9901960784313726,0.0,5.406731179437854,1.0,0.19166666666666668,2.803867791052313,1.0,0.0,0.5753371777762886,1.0,0.0,0.8176591642818778,1.0,1.0,1.001020350269675,1.0,0.0,0.21649751207066847,1.0,1.0,0.24361013523697617,1.0,0.008169934640522876,78.05285833510938,0.9901960784313726
152000,0.008169934640522876,78.73331249072527,0.9901960784313726,0.0,5.4000919055244445,1.0,0.2,2.805755915547068,1.0,0.0,0.5736797046242352,1.0,0.0,0.8164733494735907,1.0,1.0,1.0025827731088564,1.0,0.0,0.21802022467930993,1.0,1.0,0.2419589410069265,1.0,0.008169934640522876,78.73331249072527,0.9901960784313726
153000,0.008251633986928105,79.14681387597294,0.9901960784313726,0.0,5.406199711338786,1.0,0.20833333333333334,2.795154444853047,1.0,0.0,0.5750585082028601,1.0,0.0,0.8120445992044032,1.0,1.0,1.000498325209672,1.0,0.0,0.21691732859671875,1.0,1.0,0.24068245742147454,1.0,0.008251633986928105,79.14681387597294,0.9901960784313726
154000,0.008169934640522876,79.74562153955348,0.9803921568627451,0.0,5.410905915057507,1.0,0.20833333333333334,2.823634908995685,1.0,0.0,0.573416629750648,1.0,0.0,0.8062979031125046,1.0,1.0,1.005121733337707,1.0,0.0,0.2181992933285506,1.0,1.0,0.23787682530364895,1.0,0.008169934640522876,79.74562153955348,0.9803921568627451
155000,0.008251633986928105,80.14290496997634,0.9803921568627451,0.0,5.39474356166804,1.0,0.21666666666666667,2.8185363283874185,1.0,0.0,0.5780643284752038,1.0,0.0,0.8047423697904619,1.0,1.0,1.0127239446558987,1.0,0.0,0.2209894236563663,1.0,1.0,0.23928997814043917,1.0,0.008251633986928105,80.14290496997634,0.9803921568627451
